interaction,interactionDelta,intent,intentSuccess,stepDelta,step,stepDuration,totalDuration,highlightIngredients,group,interface,recipe,timestamp,session,_id
"downKey",5447,"nextStep",true,1,1,5447,5447,true,2,"responsive","lasagna","2014-12-06T18:56:26.034Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(5483515a7f671a49094b4845)
"upKey",4367,"prevStep",true,-1,2,4367,9814,true,2,"responsive","lasagna","2014-12-06T18:56:30.402Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(5483515e7f671a49094b4846)
"downKey",721,"nextStep",true,1,1,721,10535,true,2,"responsive","lasagna","2014-12-06T18:56:31.122Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(5483515f7f671a49094b4847)
"downKey",5447,"nextStep",true,1,1,5447,5447,true,2,"responsive","lasagna","2014-12-06T18:56:26.034Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(548351d27f671a49094b4848)
"downKey",149300,"nextStep",true,1,2,149300,159835,true,2,"responsive","lasagna","2014-12-06T18:59:00.422Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(548351f47f671a49094b4849)
"downKey",5079,"nextStep",true,1,3,5079,164914,true,2,"responsive","lasagna","2014-12-06T18:59:05.501Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(548351f97f671a49094b484a)
"upKey",2441,"prevStep",true,-1,4,2441,167355,true,2,"responsive","lasagna","2014-12-06T18:59:07.942Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(548351fc7f671a49094b484b)
"downKey",7739,"nextStep",true,1,3,7739,175094,true,2,"responsive","lasagna","2014-12-06T18:59:15.681Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(548352037f671a49094b484c)
"downKey",12175,"nextStep",true,1,4,12175,187269,true,2,"responsive","lasagna","2014-12-06T18:59:27.856Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(5483520f7f671a49094b484d)
"downKey",6212,"nextStep",true,1,5,6212,193481,true,2,"responsive","lasagna","2014-12-06T18:59:34.068Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(5483524b7f671a49094b484e)
"upKey",896,"prevStep",true,-1,6,896,194377,true,2,"responsive","lasagna","2014-12-06T18:59:34.964Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(5483526c7f671a49094b484f)
"upKey",288,"prevStep",true,-1,5,288,194665,true,2,"responsive","lasagna","2014-12-06T18:59:35.252Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(548352717f671a49094b4850)
"upKey",231,"prevStep",true,-1,4,231,194896,true,2,"responsive","lasagna","2014-12-06T18:59:35.483Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(548352747f671a49094b4851)
"upKey",641,"prevStep",true,-1,3,641,195537,true,2,"responsive","lasagna","2014-12-06T18:59:36.124Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(5483527b7f671a49094b4852)
"downKey",544,"nextStep",true,1,2,544,196081,true,2,"responsive","lasagna","2014-12-06T18:59:36.668Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(548352887f671a49094b4853)
"unknownKey",13630,"unknown",false,0,3,13630,209711,true,2,"responsive","lasagna","2014-12-06T18:59:50.299Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(548352c37f671a49094b4854)
"unknownKey",40,"unknown",false,0,3,13670,209751,true,2,"responsive","lasagna","2014-12-06T18:59:50.338Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(548352e57f671a49094b4855)
"unknownKey",3416,"unknown",false,0,3,17086,213167,true,2,"responsive","lasagna","2014-12-06T18:59:53.754Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(548352e97f671a49094b4856)
"unknownKey",16,"unknown",false,0,3,17102,213183,true,2,"responsive","lasagna","2014-12-06T18:59:53.770Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(548352ec7f671a49094b4857)
"upKey",23080,"prevStep",true,-1,3,40182,236263,true,2,"responsive","lasagna","2014-12-06T19:00:16.850Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(548352f47f671a49094b4858)
"downKey",4678,"nextStep",true,1,2,4678,240941,true,2,"responsive","lasagna","2014-12-06T19:00:21.528Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(548353007f671a49094b4859)
"downKey",149300,"nextStep",true,1,2,149300,159835,true,2,"responsive","lasagna","2014-12-06T18:59:00.422Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(5483533b7f671a49094b485a)
"upKey",2441,"prevStep",true,-1,4,2441,167355,true,2,"responsive","lasagna","2014-12-06T18:59:07.942Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(5483535d7f671a49094b485b)
"downKey",7739,"nextStep",true,1,3,7739,175094,true,2,"responsive","lasagna","2014-12-06T18:59:15.681Z","b693ab00711bf625163aa9369858a5997f0cca58",ObjectID(548353617f671a49094b485c)
